SIC group,Section letter,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,C,Basic pharmaceutical products and pharmaceutical preparations,"1,125.9","1,036.6","1,064.6","1,295.2","1,324.5","1,374.4","1,169.8","1,173.5","1,262.8","1,397.4","1,024.7","2,166.5","1,796.5","1,876.6","1,901.0","1,513.7","1,246.8","1,222.4","1,238.6",893.8,905.5,835.1,772.7,780.2,681.2,631.6,653.6,680.5,661.5,694.7,701.3,644.4
22.1,C,Rubber products,"1,207.9","1,331.8","1,085.0",870.7,961.0,964.0,790.5,"1,022.5",832.2,"1,178.7","1,451.6","1,370.6","1,028.3",681.5,796.1,"1,266.8",833.1,689.4,374.0,358.9,498.2,442.2,409.1,419.7,456.3,485.0,536.9,612.7,665.8,653.5,746.1,814.7
22.2,C,Plastics products,"4,514.6","5,006.9","4,791.5","3,297.8","3,524.3","3,530.9","3,112.5","3,228.7","2,398.9","2,213.4","2,450.4","2,649.6","2,014.5","2,885.4","2,731.7","3,278.2","3,146.9","2,724.3","2,319.2","2,259.3","3,232.4","2,816.9","2,557.3","3,251.9","3,706.3","3,480.8","3,713.3","3,744.9","3,824.8","3,518.8","3,540.4","3,695.8"
23.1-4 & 23.7-9,C,"Manufacture of glass, refractory, clay, other porcelain and ceramic products, Stone, & abrasive products","6,381.8","6,471.7","5,987.3","5,101.5","5,142.2","4,772.9","4,420.4","4,250.9","4,140.9","4,078.0","4,237.0","4,030.0","3,768.9","3,837.7","3,881.6","3,741.2","3,600.4","3,995.5","4,417.9","3,747.5","3,273.6","3,036.6","2,542.9","2,686.2","2,827.9","3,244.0","3,323.5","3,363.2","3,287.4","3,656.0","3,177.3","3,769.6"
23.51,C,Manufacture of cement,"13,454.8","10,999.3","9,945.0","9,985.3","11,395.8","11,127.2","11,272.1","11,803.0","11,952.9","11,387.9","10,953.8","10,536.3","10,799.3","10,330.7","10,506.2","10,220.9","10,196.9","10,503.4","8,882.2","6,253.3","6,400.1","6,800.8","6,199.7","6,649.4","6,883.8","7,207.8","7,548.1","7,326.6","7,298.4","7,454.7","6,593.8","7,071.9"
23.52 /1,C,Manufacture of lime,"2,073.8","1,851.6","1,642.5","1,648.3","1,713.7","1,875.8","2,086.4","2,137.9","2,265.8","1,954.2","1,987.9","1,981.8","1,827.5","1,964.8","2,078.4","2,082.0","2,084.5","2,214.9","2,008.8","1,443.5","1,664.0","1,713.3","1,678.0","1,774.8","1,839.9","1,732.8","1,404.6","1,491.1","1,541.1","1,501.3","1,416.9","1,557.0"
23.52 /2,C,Manufacture of plaster,73.3,58.1,45.6,40.0,32.0,25.7,25.8,33.9,12.8,16.0,17.3,21.5,21.1,20.0,21.2,22.2,14.4,13.8,13.5,13.3,13.7,12.3,12.4,12.7,12.0,12.1,14.3,14.1,14.3,15.0,15.9,15.1
23.6,C,"Manufacture of articles of concrete, cement and plaster",637.2,613.0,603.5,555.9,590.2,552.8,549.4,575.2,624.5,695.3,760.4,763.5,720.8,762.1,827.7,876.9,989.5,"1,094.6","1,331.5","1,524.2","1,447.3","1,398.5","1,827.5","2,351.1","1,949.5","1,671.8","1,313.2","1,091.7","1,052.9","1,146.0","1,050.4","1,238.9"
24.1-3,C,Manufacture of basic Iron & Steel,"24,730.8","23,776.8","22,989.7","23,287.3","23,883.6","24,188.4","24,761.6","25,313.5","23,628.1","25,191.7","22,709.5","20,468.6","17,512.9","19,958.3","20,499.3","20,580.4","21,326.9","21,835.5","20,946.1","15,392.6","14,071.9","12,791.7","13,999.1","18,328.1","18,489.4","16,695.7","11,540.4","11,094.5","10,401.2","10,842.6","10,971.2","10,943.1"
24.4-5 (not 24.42 nor 24.46),C,Manufacture of other basic metals & casting (excl. Nuclear fuel & Aluminium),"3,211.7","3,370.5","3,662.9","3,674.0","4,071.0","4,085.3","4,767.6","3,625.6","3,187.6","3,247.8","3,238.9","2,892.9","3,196.3","2,415.7","2,380.5","1,324.9","1,322.6","1,064.2","1,209.7",808.2,"1,441.1","1,040.6","1,164.7","1,203.3","1,278.8",775.8,754.8,774.8,824.6,727.2,654.2,700.0
24.42,C,Aluminium production,"4,215.5","4,115.2","3,477.7","4,140.4","3,826.6","3,590.7","4,063.1","3,893.2","4,141.0","4,112.9","4,004.8","4,147.3","4,058.7","4,266.9","4,256.5","3,978.0","4,014.1","3,994.0","4,052.9","3,600.4","3,838.6","3,651.3","3,002.4",636.2,702.2,536.0,533.9,528.6,512.3,492.3,447.3,481.1
24.46,C,Processing of nuclear fuel,104.6,123.6,126.3,140.2,135.7,120.8,209.9,217.1,54.4,67.4,72.9,75.6,78.3,84.3,67.2,71.7,66.4,68.7,35.1,63.5,75.9,64.8,73.0,74.9,65.4,46.3,44.9,43.1,43.4,42.7,41.0,42.4
25.1-3+25.5-9,C,"Fabricated metal products, except machinery and equipment, excluding weapons and ammunition","4,712.8","4,608.1","4,522.4","4,370.3","4,315.7","4,103.8","4,286.0","4,320.4","4,062.4","4,611.5","3,313.6","3,108.0","2,926.9","3,175.8","3,105.9","3,106.7","3,140.0","3,034.3","2,785.6","2,398.6","2,634.8","2,573.2","2,441.6","2,447.2","2,518.8","3,149.5","3,069.3","3,192.7","3,374.4","3,247.3","3,256.0","3,767.8"
25.4,C,Manufacture of weapons and ammunition,176.3,160.6,127.4,80.0,55.9,61.4,181.1,149.4,160.1,132.4,146.7,104.7,147.2,120.9,119.5,105.4,98.0,86.6,71.6,63.3,73.7,77.2,69.8,66.3,73.0,125.1,124.2,137.4,151.4,147.0,151.0,181.9
26,C,"Computer, electronic, communication and optical products","1,247.4","1,480.1","1,431.8","1,203.9","1,004.5",920.8,982.3,901.1,"1,009.4",924.3,"1,118.2","1,058.2",925.1,956.9,"1,058.1","1,180.1",998.1,865.5,779.1,698.0,675.9,651.4,622.6,625.8,659.3,721.8,737.6,799.9,830.9,860.8,946.7,"1,036.5"
27,C,Electrical equipment,"1,571.6","1,784.7","1,717.5","1,423.0","1,119.3",990.2,"1,072.3",926.6,936.4,995.7,"1,009.4","1,017.5",966.8,930.1,932.8,972.2,946.0,875.9,748.7,663.8,677.3,665.9,625.8,619.1,662.0,743.3,764.4,817.0,863.7,915.7,967.9,"1,083.2"
28,C,Machinery and equipment n.e.c.,"2,678.8","2,913.2","2,757.7","2,428.7","2,099.9","1,925.9","2,054.2","2,007.5","2,274.8","2,083.0","2,173.3","2,025.3","1,859.6","1,867.3","1,826.4","1,802.7","1,808.6","1,674.8","1,493.0","1,308.1","1,405.4","1,403.0","1,349.9","1,319.3","1,365.5","1,810.0","1,863.9","1,958.9","2,070.1","2,012.5","1,993.3","2,295.9"
29,C,"Motor vehicles, trailers and semi-trailers","1,995.0","2,166.2","2,305.1","1,800.7","1,696.0","1,677.2","1,571.6","1,555.9","1,381.0","1,866.1","2,205.1","2,258.3","1,923.3","2,014.4","1,757.9","1,819.3","1,890.8","1,612.2","1,010.4",960.8,"1,612.3","1,672.2","1,577.9","1,697.1","1,826.0","1,599.6","1,619.3","1,802.1","1,809.5","1,670.9","1,592.1","1,728.8"
30.1,C,Building of ships and boats,230.1,233.1,206.2,161.8,159.0,158.7,183.9,162.4,188.0,189.1,298.7,169.3,160.8,145.5,210.7,264.0,235.5,224.5,189.0,205.8,295.8,244.2,189.2,186.8,252.8,246.7,263.2,323.6,285.6,244.5,268.8,276.3
30.3,C,Manufacture of air and spacecraft and related machinery,"1,115.9","1,443.8","1,500.8","1,020.7",723.0,737.9,580.7,701.9,958.9,780.1,736.2,612.8,751.5,684.6,686.7,728.7,554.1,499.5,346.8,362.0,590.9,525.6,456.7,493.0,573.6,514.6,558.1,670.0,633.0,546.1,576.3,593.9
30.2+4+9,C,"Manufacture of other transport equipment, excluding ships, boats, air and spacecraft",230.8,228.9,207.5,155.0,109.6,119.4,177.2,171.3,166.3,143.6,154.0,125.9,123.3,210.7,212.3,149.6,134.0,116.1,82.0,85.6,122.2,117.1,108.6,114.3,124.2,112.5,121.7,134.8,132.1,122.4,120.4,125.7
31,C,Furniture,"2,589.6","2,836.6","2,258.3","2,129.2","1,969.5","1,653.9","1,794.9","1,571.8","1,264.0","1,942.3","1,350.7","1,694.0","1,218.6","1,238.2","1,251.1","1,325.1","1,298.1","1,157.7",909.3,812.1,866.3,792.9,755.1,748.4,752.2,776.8,859.7,874.5,902.5,936.3,986.5,998.6
32,C,Other manufactured goods,857.5,"1,132.5",791.3,622.1,615.8,551.4,601.5,531.4,651.4,770.8,690.2,850.7,623.5,"1,040.4",878.1,724.3,729.7,648.6,500.8,515.5,607.3,554.3,526.6,525.0,534.5,555.7,615.0,645.3,674.8,690.0,741.0,775.3
33.15,C,Repair & maintenance of ships,15.1,15.6,15.3,15.7,16.1,16.2,16.7,16.5,16.7,16.7,16.7,16.6,15.9,16.2,16.3,15.7,15.4,15.2,14.5,13.5,13.2,12.5,13.0,12.1,12.1,12.5,12.8,12.7,12.6,12.2,10.2,12.2
33.16,C,Repair & maintenance of aircraft  & spacecraft,42.2,48.1,45.9,48.8,49.8,51.9,54.5,50.8,53.8,56.7,57.5,56.4,50.1,52.2,50.6,49.3,46.1,44.8,50.6,42.2,43.7,39.8,42.9,42.1,38.4,40.2,41.5,40.3,39.3,39.3,33.8,35.4
33 (not 33.15-16),C,Rest of repair; Installation,382.1,396.2,386.9,398.5,408.6,411.6,423.9,412.5,416.6,421.9,418.3,408.2,386.3,389.1,378.6,363.9,350.4,339.7,338.8,332.8,312.0,293.6,295.8,290.8,284.7,292.6,301.1,296.2,293.3,290.0,258.1,286.8
